Rank,Name,BayesElo,+MErr,-MErr,Games,Score%,OppRating,Win,Loss,Draw
1,"Natividad, Richard",2521,234,187,8,93.8,2249,7,0,1
2,"Dableo, Ronald",2500,245,180,14,92.9,2138,13,1,0
3,"Tiu, Sherwin",2455,226,182,14,89.3,2099,12,1,1
4,"Pagaran, Michael Joseph",2437,277,212,8,87.5,2169,7,1,0
5,"Peratilla, Alvin Panes",2398,283,207,7,85.7,2173,6,1,0
6,"Reyes, Chester Neil",2397,196,166,14,78.6,2162,11,3,0
7,"Gravillo, Norvin",2394,298,219,7,85.7,2144,6,1,0
8,"Pimentel, Joel Jr.",2386,221,193,8,81.2,2152,6,1,1
9,"Reyes, Narquinden",2384,301,245,7,85.7,2062,6,1,0
10,"Navales, Dennis",2380,243,216,8,75.0,2188,6,2,0
11,"Baylon, Eliaquim",2372,377,539,1,0.0,2521,0,1,0
12,"Roque, Rowell",2344,201,177,14,82.1,2058,11,2,1
13,"Concio, Michael Jr.",2335,198,171,14,78.6,2090,11,3,0
14,"Milo, Richard",2330,246,209,7,78.6,2135,5,1,1
15,"Reyes, Mark Gerald",2315,175,153,14,75.0,2144,10,3,1
16,"Recososa, Ryan",2303,187,171,14,75.0,2088,10,3,1
17,"Reyes, Narquingden",2292,241,201,7,78.6,2107,5,1,1
18,"Nailon, Redentor",2290,232,194,8,81.2,2077,6,1,1
19,"Pacuribot, Joel",2277,247,218,8,81.2,2042,6,1,1
20,"Mirano, Kevin",2272,189,163,14,78.6,2053,11,3,0
21,"Morado, Jeth Romy",2260,222,211,7,57.1,2223,4,3,0
22,"De Mesa, Bj Harvey",2258,374,539,1,0.0,2386,0,1,0
23,"Loyola, Venancio Jr.",2258,240,210,8,75.0,2061,6,2,0
24,"Spencer, Real",2252,248,219,7,71.4,2100,5,2,0
25,"Perartilla, Alvin",2250,286,217,7,85.7,1996,6,1,0
26,"Rosaupan, Carlo Magno",2239,263,230,7,71.4,2080,5,2,0
27,"Roque, Merben",2238,215,190,8,75.0,2070,5,1,2
28,"Querubin, Julian Paul",2225,265,230,7,71.4,2076,5,2,0
29,"Quizon, Daniel",2219,189,181,14,71.4,2013,10,4,0
30,"Sasot, Bren",2198,254,224,7,71.4,2052,5,2,0
31,"Taneo, Henry",2198,257,228,7,71.4,2034,5,2,0
32,"Fiel, Yves Christian",2188,223,204,8,62.5,2109,5,3,0
33,"Falalimpa, Kenneth",2188,177,164,14,67.9,2046,9,4,1
34,"Areque, Jerry",2186,253,228,7,71.4,2026,5,2,0
35,"Magura, Lawrence",2175,254,218,7,71.4,2033,5,2,0
36,"Llanillo, Paul Matthew",2174,172,164,14,67.9,2005,9,4,1
37,"Vaflor, Gabriel",2172,225,213,7,57.1,2129,4,3,0
38,"Rosaupan, Jan Lei Kian",2169,168,161,14,60.7,2095,8,5,1
39,"Alegado, James Char",2163,213,197,8,68.8,2025,5,2,1
40,"Codilla, Tsedekhaor",2162,217,202,8,62.5,2077,5,3,0
41,"Gaddi, Johann Cedrick",2161,216,197,7,64.3,2074,4,2,1
42,"Caditan, Kristian",2160,184,162,14,71.4,2011,10,4,0
43,"Milo, RIchard",2157,263,236,7,71.4,1982,5,2,0
44,"Rapanot, Alfredo",2156,226,205,7,64.3,2064,4,2,1
45,"Espinosa, Jake",2154,236,233,7,57.1,2091,4,3,0
46,"Panilagao, Rogel Nino",2139,213,195,8,68.8,2011,5,2,1
47,"Constantino, Marlon",2138,250,218,7,71.4,1985,5,2,0
48,"Secorata, Darwin L.",2128,178,164,14,64.3,2022,9,5,0
49,"Dela Cruz, Noel",2127,228,215,7,64.3,2028,4,2,1
50,"Laplana, Michael",2117,183,157,14,75.0,1945,10,3,1
51,"Molina, Kevin",2116,243,225,7,57.1,2090,4,3,0
52,"Vosotros, Edel",2108,229,205,8,62.5,2041,5,3,0
53,"Azuela, Noel",2106,175,170,14,57.1,2047,8,6,0
54,"Dela Torre, Kim Carlo",2094,174,167,14,57.1,2045,8,6,0
55,"Lavandero, Maria Kristine",2092,236,203,8,75.0,1915,6,2,0
56,"Ruaya, Virgen Gil C.",2092,246,235,7,57.1,2050,4,3,0
57,"Rubin, Apple",2089,238,206,8,75.0,1915,6,2,0
58,"Bermudo, Jason",2087,205,193,8,56.2,2045,4,3,1
59,"Navarro, Twain",2082,203,203,8,62.5,1955,4,2,2
60,"Alcira, Christian Ace",2081,244,243,7,57.1,2028,4,3,0
61,"Cuerpo, Glenn",2081,221,210,8,62.5,1988,5,3,0
62,"Chan, Benedict Isaias",2077,174,168,14,60.7,1991,8,5,1
63,"Arcoseba, Elwin",2075,235,224,7,57.1,2036,4,3,0
64,"Valencia, John Lance",2072,242,206,7,71.4,1943,5,2,0
65,"Resma, Aaron John",2072,219,203,8,62.5,1990,5,3,0
66,"Bangahon, Gilbert",2069,223,195,7,71.4,1961,5,2,0
67,"Arellano, Bryle",2068,193,186,8,56.2,2037,4,3,1
68,"Arquero, Kevin",2063,174,169,14,57.1,2007,8,6,0
69,"Lozada, Luke Symon",2062,218,210,8,62.5,1969,5,3,0
70,"Salientes, Allan",2061,242,219,8,75.0,1850,6,2,0
71,"Villacorta, Ryan",2060,192,181,8,68.8,1936,4,1,3
72,"Canubas, Aldrin",2059,184,171,14,64.3,1953,9,5,0
73,"Aragones, Jerome Angelo",2057,263,253,7,71.4,1864,5,2,0
74,"Domingo, Aaron",2056,178,156,14,71.4,1908,10,4,0
75,"Mamauag, Mikel Angelo",2054,167,161,14,57.1,2003,8,6,0
76,"Lozada, Loisse Antonette",2053,205,201,8,56.2,2001,4,3,1
77,"Pondoyo, Chris Aldritz",2051,245,211,8,75.0,1874,6,2,0
78,"Momo, Rengie",2045,198,195,8,56.2,1998,4,3,1
79,"Pason, Allan",2041,223,211,8,68.8,1897,5,2,1
80,"Vosotros, Edelyn",2040,218,205,8,56.2,2014,4,3,1
81,"Goloran, Jhulo",2039,229,218,7,57.1,2013,4,3,0
82,"Mascarinas, Rico",2030,197,191,8,62.5,1930,4,2,2
83,"Sadic, Larry",2025,212,208,7,50.0,2037,3,3,1
84,"Barcial, Joseph Fred",2025,207,219,7,42.9,2073,3,4,0
85,"Arroyo, Christian",2024,240,236,7,57.1,1971,4,3,0
86,"Jimenez, Jeffrey",2013,240,238,7,57.1,1961,4,3,0
87,"Lavandero, John Dave",2012,219,208,8,62.5,1916,5,3,0
88,"Jimenez, Arnold",2012,229,218,7,57.1,1966,4,3,0
89,"Justiniano, Daniel",2003,207,209,7,50.0,1994,3,3,1
90,"Advincula, Mark",2002,232,229,7,57.1,1952,4,3,0
91,"Mangubat, Mario",1993,230,230,8,50.0,1990,4,4,0
92,"Sevillano, Jupiter",1993,208,203,8,50.0,2002,4,4,0
93,"Lopez, Keith Van Majerle",1992,232,223,7,57.1,1948,4,3,0
94,"Sanico, Genesis",1985,199,187,8,62.5,1923,5,3,0
95,"Talaboc, Francis",1985,245,221,7,57.1,1963,4,3,0
96,"Saloma, Cody Arris",1979,226,221,7,57.1,1925,4,3,0
97,"Gaviola, Stephano Vincent",1975,212,204,8,50.0,1990,4,4,0
98,"Goloran, Juolo",1975,218,211,7,57.1,1930,4,3,0
99,"Cogonon, Sean Kenneth",1971,219,212,8,62.5,1873,5,3,0
100,"Subastil, Juan",1968,239,211,7,71.4,1840,5,2,0
101,"Vidad, Kirk Anthony",1968,238,221,7,57.1,1934,4,3,0
102,"Cruz, Crizelda",1966,190,195,8,50.0,1932,2,2,4
103,"Tibod, Bonn Rainauld",1963,213,196,8,62.5,1889,5,3,0
104,"Llera, Fidel",1959,231,266,7,42.9,1977,3,4,0
105,"Boholst, Paulito",1957,217,216,7,50.0,1962,3,3,1
106,"Soriano, John Kennard",1957,158,160,14,50.0,1957,7,7,0
107,"Balbaboco, Kelly Martin",1953,212,237,7,42.9,1988,3,4,0
108,"Ranoco, Vhione Jasper",1951,204,204,7,50.0,1951,3,3,1
109,"Lucion, Rommel",1950,167,161,14,57.1,1905,8,6,0
110,"Bravo, Mark",1949,218,231,7,42.9,1993,3,4,0
111,"Bonsato, Julius",1949,220,215,7,50.0,1976,3,3,1
112,"Fernandez, Jose Faunus",1943,218,197,8,62.5,1870,5,3,0
113,"Nantona, Carlo",1943,372,532,1,0.0,2069,0,1,0
114,"Abel, Ronald",1940,290,240,7,57.1,1951,4,3,0
115,"Jardin, Hermee",1932,163,164,14,53.6,1913,7,6,1
116,"Saltorio, Jomari",1931,219,224,7,50.0,1927,3,3,1
117,"Cerna, Levi",1923,188,177,14,57.1,1885,8,6,0
